Date,AAPL_Daily_Adj._Open-Adj._Close_P_Delta,AAPL_AfterHours_Adj._Close-Adj._Open_P_Delta,AAPL_Adj._Volume,AAPL_25-day_Adj._Close_MA,AAPL_50-day_Adj._Close_MA,AAPL_100-day_Adj._Close_MA,AAPL_200-day_Adj._Close_MA,GOOGL_Daily_Adj._Open-Adj._Close_P_Delta,GOOGL_AfterHours_Adj._Close-Adj._Open_P_Delta,GOOGL_Adj._Volume,GOOGL_25-day_Adj._Close_MA,GOOGL_50-day_Adj._Close_MA,GOOGL_100-day_Adj._Close_MA,GOOGL_200-day_Adj._Close_MA,GOOG_Daily_Adj._Open-Adj._Close_P_Delta,GOOG_AfterHours_Adj._Close-Adj._Open_P_Delta,GOOG_Adj._Volume,GOOG_25-day_Adj._Close_MA,GOOG_50-day_Adj._Close_MA,GOOG_100-day_Adj._Close_MA,GOOG_200-day_Adj._Close_MA,AOSL_Daily_Adj._Open-Adj._Close_P_Delta,AOSL_AfterHours_Adj._Close-Adj._Open_P_Delta,AOSL_Adj._Volume,AOSL_25-day_Adj._Close_MA,AOSL_50-day_Adj._Close_MA,AOSL_100-day_Adj._Close_MA,AOSL_200-day_Adj._Close_MA,MSFT_Daily_Adj._Open-Adj._Close_P_Delta,MSFT_AfterHours_Adj._Close-Adj._Open_P_Delta,MSFT_Adj._Volume,MSFT_25-day_Adj._Close_MA,MSFT_50-day_Adj._Close_MA,MSFT_100-day_Adj._Close_MA,MSFT_200-day_Adj._Close_MA,FB_Daily_Adj._Open-Adj._Close_P_Delta,FB_AfterHours_Adj._Close-Adj._Open_P_Delta,FB_Adj._Volume,FB_25-day_Adj._Close_MA,FB_50-day_Adj._Close_MA,FB_100-day_Adj._Close_MA,FB_200-day_Adj._Close_MA,ORCL_Daily_Adj._Open-Adj._Close_P_Delta,ORCL_AfterHours_Adj._Close-Adj._Open_P_Delta,ORCL_Adj._Volume,ORCL_25-day_Adj._Close_MA,ORCL_50-day_Adj._Close_MA,ORCL_100-day_Adj._Close_MA,ORCL_200-day_Adj._Close_MA,INTC_Daily_Adj._Open-Adj._Close_P_Delta,INTC_AfterHours_Adj._Close-Adj._Open_P_Delta,INTC_Adj._Volume,INTC_25-day_Adj._Close_MA,INTC_50-day_Adj._Close_MA,INTC_100-day_Adj._Close_MA,INTC_200-day_Adj._Close_MA,IBM_Daily_Adj._Open-Adj._Close_P_Delta,IBM_AfterHours_Adj._Close-Adj._Open_P_Delta,IBM_Adj._Volume,IBM_25-day_Adj._Close_MA,IBM_50-day_Adj._Close_MA,IBM_100-day_Adj._Close_MA,IBM_200-day_Adj._Close_MA,ex_AAPL_Daily_Adj._Open-Adj._Close_P_Delta,pr_AAPL_Daily_Adj._Open-Adj._Close_P_Delta,Abs Prediction Error,ex AAPL cumulative sum,pr AAPL cumulative sum,ex AAPL 5-day MA,pr AAPL 5-day MA
75,-0.007243253,-0.004777208,52903040,120.0407782,122.086573,122.6351889,116.9430087,-0.005697414,-0.003536522,2032984,628.4148,589.414,570.63195,555.157525,-0.003596899,-0.003812162,1572600,600.2856,566.5004,554.28385,544.21055,-0.00617284,-0.069565217,36193,8.2292,8.4442,8.5273,8.73015,-0.022846363,-0.004933505,27368000,44.08999839,44.13600711,43.3608702,43.34332193,-0.021197777,0.002733389,42271318,92.7222,87.9307,84.60685,80.82055,-0.007822357,0.001017294,10613026,38.96324873,40.31481841,41.37276426,41.18700149,-0.005144033,-0.007238883,27958192,27.85649102,29.17491617,29.83347123,31.3186462,-0.005154967,-0.002750768,3004487,154.9375234,156.6635657,156.8998821,153.0542943,0.008203875,-0.000180642,0.008384517,-0.077217968,-0.085602485,-0.005241849,-0.00436163
76,0.008203875,0.008743075,38670405,119.6374667,121.7813573,122.5336358,117.0149156,-0.005076522,0.004063878,1377152,633.0968,591.6182,571.69975,555.789325,-0.007700358,0.006579569,1403865,604.7616,568.4108,555.12845,544.75435,-0.004005341,0.001340483,117816,8.1752,8.4266,8.5131,8.72295,0.007544729,0.00449294,19163038,44.1799027,44.12236778,43.41192066,43.35650634,-0.011323129,0.014634146,23199145,93.0028,88.2138,84.7562,80.8986,0.005081301,0.005055612,10655096,38.93785462,40.23398367,41.34344701,41.19477508,0.002777778,0.006578947,25606125,27.80170039,29.08165289,29.82156835,31.30524593,-0.00493938,0.010636926,3794897,154.6088624,156.3739045,156.9059484,153.0383724,0.027374925,0.000401451,0.026973474,-0.041099968,-0.068073442,0.005270173,-0.00208744
77,0.027374925,-0.015953892,54951597,119.4148605,121.587051,122.4591837,117.1047873,-0.00592124,0.054950689,1722915,637.7976,593.9746,572.66955,556.391575,-0.008991681,0.055970208,1809205,609.1964,570.4432,555.87075,545.25945,0.001338688,-0.002673797,60631,8.1216,8.4098,8.5002,8.71645,0.008093717,-0.010775407,23079870,44.29285941,44.13139664,43.46095606,43.37487819,-0.015990803,-0.004460967,21624153,93.2668,88.513,84.8886,80.9775,0.003269618,-0.009024818,9525807,38.92769349,40.16680048,41.3051322,41.20759475,0.019607843,-0.005735493,22807360,27.79576314,28.99441903,29.8141309,31.29708445,-0.000127575,-0.005039872,4613371,154.3560645,156.1543595,156.900799,153.0369008,-0.036669213,0.00424987,0.040919083,-0.093723073,-0.05280399,0.00267147,0.000549782
78,-0.036669213,-0.008458895,97082814,118.9615467,121.2664337,122.3334638,117.1555064,-0.013265102,0.006069825,5494011,643.4084,596.7964,573.93585,557.074825,-0.012582188,0.003480735,5029203,614.6268,572.979,556.89865,545.84345,-0.014745308,-0.009523809,36503,8.0628,8.3928,8.4852,8.709,-0.008756942,-0.004740358,29237402,44.37392697,44.11564417,43.50320646,43.38581865,-0.001173584,-0.00982696,22491031,93.5228,88.7796,84.9973,81.0454,-0.009107007,-0.010977789,10600501,38.88900302,40.07970764,41.25949177,41.21404351,-0.016966407,-0.010700725,23758859,27.76940695,28.90488747,29.80167359,31.28374333,-0.002885355,-0.008038068,3167111,154.0457012,155.9011094,156.8838142,153.0277046,0.024082467,0.00185854,0.022223927,-0.078099501,-0.100323428,0.00314976,0.000538674
79,0.024082467,0.006942034,101685610,118.6974297,120.9910591,122.2401919,117.2128807,-0.004348515,-0.003282861,2932328,649.3992,599.5468,575.20105,557.787675,-0.00530856,-0.000360089,2940803,620.336,575.3866,557.89065,546.44235,0.035714286,-0.00397878,48001,8.0068,8.3796,8.4727,8.70385,0.011907339,0.006846384,30198532,44.46997859,44.11218631,43.54294849,43.39311824,0.016073355,-0.001486357,27120375,93.8644,89.0545,85.1012,81.113,0.013939081,-0.001527495,11150861,38.86985319,39.99651639,41.21250111,41.21861134,0.027913468,-0.00203666,33639471,27.77713961,28.83688051,29.78853186,31.27047019,0.012316868,-0.000640369,3624852,153.8298245,155.6703015,156.8441931,153.0220737,-0.007669769,0.000513541,0.00818331,-0.078827236,-0.070643926,0.003064457,0.001368552
80,-0.007669769,-0.00720799,48535789,118.5267726,120.7108283,122.1333932,117.2703435,-0.003903076,-0.003597908,1817748,655.0736,602.1712,576.41245,558.470825,-0.004356745,-0.002193617,1810749,625.7668,577.7094,558.86705,547.02075,0.011984021,-0.005263158,52906,7.9768,8.368,8.4591,8.6965,-0.007012325,-0.004279906,22627241,44.55488822,44.10988107,43.58283303,43.40140554,-0.006592238,0.001177352,17451768,94.1664,89.2743,85.1912,81.17875,0.002294748,0.000508776,7785664,38.83585247,39.90865503,41.16735554,41.22477671,-0.018027211,0.001731902,18821945,27.78392428,28.76782761,29.77076063,31.25426853,-0.006343714,-0.000451409,2533318,153.5462062,155.4135743,156.7777283,153.0122139,0.014345696,0.0060988,0.008246896,-0.07168953,-0.079936426,0.004292821,0.00262444
81,0.014345696,0.000689893,42929516,118.2631697,120.4611158,122.0395057,117.3239455,0.007791942,-0.001929298,1379855,660.404,604.9248,577.53075,559.122975,0.003221325,-0.000486973,1072061,630.8464,580.1178,559.73635,547.56185,-0.006613757,-0.00665779,67113,7.9416,8.3522,8.4446,8.6887,0.01010101,-0.004042553,21473402,44.64671357,44.12217568,43.62488154,43.40825898,0.00940774,0,15929656,94.4252,89.5217,85.2823,81.247,0.002034071,0,7184959,38.79872526,39.82664131,41.1284249,41.23036654,0.003457815,-0.006547209,14302700,27.78732447,28.70966507,29.75831073,31.23626766,0.00483871,-0.0035313,3226434,153.1711706,155.1989836,156.7330666,152.9975844,0.009651844,0.011248,0.001596156,-0.061347793,-0.059751637,0.000748205,0.00479375
82,0.009651844,-0.006230795,40884745,117.9540089,120.2485496,121.9892699,117.3805185,0.008822162,-0.004379709,1233951,665.2992,607.8164,578.80185,559.801275,0.006196711,0.001558552,1051699,635.4192,582.6686,560.7572,548.11955,-0.022788204,-0.009602195,51978,7.8952,8.332,8.428,8.6805,0.010895108,-0.003652155,21099746,44.71510233,44.14484386,43.6837456,43.41603722,-0.005189579,0.001596934,18313531,94.5784,89.7575,85.3924,81.33735,0.007866024,-0.005035247,7631157,38.75651747,39.74990647,41.10008892,41.23780934,0.008671523,-0.004470426,15548322,27.77167898,28.66161616,29.7549539,31.21771512,0.007152062,-0.005118035,2249554,152.7255051,155.0136364,156.729448,152.9862761,0.00060122,0.0115711,0.01096988,-0.066977368,-0.056007488,0.008202292,0.006257996
83,0.00060122,-0.003433476,34560708,117.6210727,120.0396103,121.9243007,117.4356012,-0.003386054,0.002003688,1385544,669.4812,610.7214,580.05275,560.443575,-0.008717329,0.000716321,1456059,639.2204,585.2546,561.7668,548.64865,-0.031855956,-0.001430615,87908,7.8296,8.3044,8.411,8.67005,0.009180188,-0.010365983,23574104,44.79040679,44.18038296,43.74749275,43.42774762,0.011585884,-0.005674057,22278848,94.798,90.0475,85.514,81.44265,0.00784413,-0.003263872,9950594,38.71939025,39.68914331,41.07224568,41.24617642,-0.001381693,-0.008993428,19182638,27.75254845,28.62059441,29.74816532,31.20459901,0.003215227,-0.005512467,2018337,152.2975413,154.8615626,156.7099081,152.9694129,-0.009388458,0.0113414,0.020729858,-0.079799302,-0.059069444,0.001508107,0.008154568
84,-0.009388458,-0.008086253,48286510,117.1831519,119.8090139,121.8543783,117.4785427,0.005694744,-0.007117745,2509697,673.8844,613.759,581.41765,561.074425,0.006548888,-0.0082312,2134098,643.2476,587.9388,562.8924,549.15775,0.031518625,0,96967,7.782,8.2718,8.396,8.6606,-0.003634032,-0.011585497,31485511,44.83480845,44.20469692,43.80714923,43.43203045,0.007185882,-0.018570979,23251271,95.02,90.3403,85.6341,81.54425,-0.004282116,-0.008601062,11112865,38.67014784,39.62310201,41.04486628,41.25041784,-0.010122164,-0.011636107,30530143,27.71074894,28.56995398,29.71792242,31.18216657,-0.007798904,-0.007795245,4205904,151.7935759,154.6635365,156.6723953,152.9424392,-0.012535063,0.0132756,0.025810663,-0.100420618,-0.074609955,0.000535048,0.01070698
85,-0.012535063,-0.019707057,68501622,116.5877323,119.5041286,121.7313401,117.5032863,-0.013960238,-0.012421263,2889877,676.9924,616.2966,582.6011,561.652975,-0.013166326,-0.010899309,2855299,645.9268,590.1416,563.8404,549.6158,0,-0.005555556,85773,7.7344,8.239,8.38,8.65165,-0.008899501,-0.007884363,36238227,44.80789254,44.19219949,43.8577164,43.42941407,-0.031858029,-0.033568905,44598224,95.0084,90.5083,85.70775,81.62765,-0.014289359,-0.008024851,13071171,38.57908845,39.52253704,41.00093374,41.2505528,-0.017838031,-0.007264802,31936568,27.62903436,28.49249279,29.68481238,31.15434562,-0.000523766,-0.007598585,4011514,151.1472164,154.3797356,156.6013403,152.9095421,-0.042289233,0.00906741,0.051356643,-0.162416908,-0.111060265,-0.010791938,0.011300702
86,-0.042289233,-0.102968986,128275471,115.6808135,119.0706443,121.559924,117.4983052,-0.040250954,-0.067434747,4593970,674.7688,618.1764,583.4944,562.052175,-0.042670918,-0.064459248,4265183,643.5088,591.699,564.4852,549.90765,0.008379888,-0.002770083,62678,7.69,8.2068,8.3614,8.6414,-0.049227373,-0.060831205,70053084,44.68235139,44.13288677,43.88615366,43.41366541,-0.016681901,-0.104926795,62778680,94.652,90.5929,85.7462,81.67915,-0.020093946,-0.048468708,19411149,38.46770679,39.39424909,40.9492622,41.24473467,-0.028174168,-0.051204819,52288393,27.52642527,28.39581465,29.64417775,31.12079008,-0.017491749,-0.036143769,7360898,150.2982193,154.0258539,156.5143051,152.8663843,0.086961105,-0.00103872,0.087999825,-0.178424789,-0.266424614,0.004669914,0.008843358
87,0.086961105,0.077482545,162206292,114.5760089,118.6132689,121.3645314,117.4792216,0.029154179,0.045877756,6489430,671.7796,619.5892,584.1806,562.362975,0.028987784,0.04290972,5770302,640.5724,592.8446,564.9557,550.1261,0.015277778,0.020519836,74310,7.6604,8.1764,8.3454,8.63065,0.030407911,0.021233205,88753660,44.49152911,44.05572544,43.90053189,43.38983211,0.065688693,0.059203313,83710727,94.0192,90.6041,85.75045,81.71545,0.00979569,0.024667406,32521258,38.31724385,39.23606833,40.88526525,41.2309615,0.041666667,0.030095238,83234171,27.4260065,28.303282,29.60491659,31.08833488,0,0.024186241,10186817,149.2169348,153.6031588,156.3883194,152.8013963,-0.066330663,-0.00408506,0.062245603,-0.167272907,-0.105027304,-0.008716462,0.005712126
88,-0.066330663,0.032244072,103601599,113.5465587,118.17282,121.1648454,117.461673,-0.052589651,0.050010613,3571469,668.4644,620.9786,584.8922,562.666875,-0.053422452,0.048603237,3537966,637.3628,593.9418,565.421,550.3262,-0.034852547,0.022222222,128696,7.6284,8.1438,8.326,8.61825,-0.049218842,0.038052879,70616597,44.24008153,43.96467628,43.90731514,43.35619498,-0.045428407,0.035542169,52021230,93.4036,90.6499,85.7649,81.75415,-0.041114417,0.016361072,21388021,38.15622896,39.07764706,40.81676197,41.21159565,-0.043269231,0.02473908,59371859,27.32546832,28.2021106,29.56200333,31.05377175,-0.040696883,0.022204881,7071869,148.4241428,153.1463693,156.2264456,152.7210013,0.02432647,-0.00853555,0.03286202,-0.110702365,-0.143564385,-0.001973477,0.001736736
89,0.02432647,0.023338499,96774611,112.9634201,117.8350947,121.0035121,117.4716113,0.02587467,0.018583078,4386985,667.05,623.276,586.0501,563.206475,0.029933645,0.017148675,4235891,636.0236,595.9512,566.33955,550.76425,-0.019021739,0.001385042,97315,7.5988,8.1128,8.3092,8.6064,0.016662699,0.0100679,63407996,44.14211254,43.91012079,43.92377861,43.33348034,0.014426992,0.02293841,45124302,93.0096,90.7725,85.8124,81.8121,0.024424091,0.012191818,20532137,38.05813494,38.92984466,40.75921381,41.19873337,0.029800075,0.013919414,47386736,27.28428892,28.12375536,29.53065713,31.02720783,0.018113679,0.013156101,6197229,147.95349,152.7881733,156.104422,152.6651546,0.00596882,-0.00555364,0.01152246,-0.081395046,-0.092917506,0.0017273,-0.002029112
90,0.00596882,-0.00664187,84616056,112.508455,117.5661106,120.8865801,117.498146,-0.006011905,-0.004266723,2948736,666.7792,625.7032,587.2811,563.755125,-0.0027995,-0.007512429,3491336,635.7568,598.1182,567.34545,551.21485,-0.001383126,-0.002770083,78827,7.5712,8.0806,8.2921,8.5949,0.017617061,-0.009794989,50943211,44.06826418,43.87588606,43.95189032,43.31552961,0.00605449,0.002340354,42431375,92.7812,90.9313,85.8865,81.88575,-0.014453961,0,28218161,37.97293775,38.77502726,40.70078632,41.18296477,0.001445087,-0.003246753,38649417,27.25963702,28.0474679,29.50126569,31.00416549,-0.000605531,-0.005318433,4975966,147.5008341,152.4588546,155.9996789,152.6114656,0.009984844,-0.00293847,0.012923314,-0.078052072,-0.090975386,0.012182115,-0.004430288
91,0.009984844,-0.010239209,53164407,112.0935048,117.2930863,120.7772113,117.5222986,-0.008149028,-0.005199412,1941833,666.976,627.7734,588.3896,564.247125,-0.003855757,-0.004505219,1978733,636.0296,599.9912,568.23315,551.6153,0.015277778,-0.006839945,70196,7.548,8.0516,8.2767,8.58955,0.010582011,-0.004325063,28246725,44.00210752,43.82782368,43.98134181,43.29781805,0.01189682,-0.004614877,33215885,92.5436,91.0934,85.97385,81.96775,0.017381858,-0.002936466,21559081,37.91275257,38.67496123,40.64715175,41.17022594,0.02859211,-0.00070373,43452360,27.28229448,27.97643784,29.47812869,30.98425204,0.001556684,-0.004865522,4076211,147.1017691,152.098399,155.8916576,152.5559904,0.005618479,-0.00398775,0.009606229,-0.082672802,-0.092279031,-0.00408641,-0.005020094
